Date,Jumlah penumpang KRL Jabodetabek (Ribu jiwa)
1/1/2006,8681
2/1/2006,8144
3/1/2006,8920
4/1/2006,8462
5/1/2006,8899
6/1/2006,8606
7/1/2006,8787
8/1/2006,8661
9/1/2006,8829
10/1/2006,8767
11/1/2006,8895
12/1/2006,8774
1/1/2007,8723
2/1/2007,7566
3/1/2007,9009
4/1/2007,10206
5/1/2007,10608
6/1/2007,10310
7/1/2007,10761
8/1/2007,10653
9/1/2007,10446
10/1/2007,9887
11/1/2007,10031
12/1/2007,9895
1/1/2008,9868
2/1/2008,9673
3/1/2008,10469
4/1/2008,10562
5/1/2008,10582
6/1/2008,10824
7/1/2008,11206
8/1/2008,11129
9/1/2008,10481
10/1/2008,10379
11/1/2008,10583
12/1/2008,9695
1/1/2009,10686
2/1/2009,9984
3/1/2009,11185
4/1/2009,10908
5/1/2009,11448
6/1/2009,11384
7/1/2009,11348
8/1/2009,10905
9/1/2009,10243
10/1/2009,11087
11/1/2009,10592
12/1/2009,10738
1/1/2010,10541
2/1/2010,9641
3/1/2010,10759
4/1/2010,10394
5/1/2010,10476
6/1/2010,10312
7/1/2010,10466
8/1/2010,10438
9/1/2010,9685
10/1/2010,10796
11/1/2010,10106
12/1/2010,10694
1/1/2011,10354
2/1/2011,9270
3/1/2011,10733
4/1/2011,10188
5/1/2011,10513
6/1/2011,10147
7/1/2011,10749
8/1/2011,9678
9/1/2011,9692
10/1/2011,10152
11/1/2011,9852
12/1/2011,9777
1/1/2012,9779
2/1/2012,9840
3/1/2012,11285
4/1/2012,11271
5/1/2012,11872
6/1/2012,12034
7/1/2012,12391
8/1/2012,11471
9/1/2012,11556
10/1/2012,11501
11/1/2012,10650
12/1/2012,10438
1/1/2013,10089
2/1/2013,10281
3/1/2013,11240
4/1/2013,11529
5/1/2013,11767
6/1/2013,11817
7/1/2013,15407
8/1/2013,14321
9/1/2013,15113
10/1/2013,15531
11/1/2013,15487
12/1/2013,15901
1/1/2014,15176
2/1/2014,14856
3/1/2014,17471
4/1/2014,16671
5/1/2014,16781
6/1/2014,17848
7/1/2014,16585
8/1/2014,17091
9/1/2014,18253
10/1/2014,19079
11/1/2014,18605
12/1/2014,20080
1/1/2015,19244
2/1/2015,17640
3/1/2015,21290
4/1/2015,21171
5/1/2015,22177
6/1/2015,22207
7/1/2015,21171
8/1/2015,22295
9/1/2015,22021
10/1/2015,22964
11/1/2015,22355
12/1/2015,22996
1/1/2016,22238
2/1/2016,21229
3/1/2016,23206
4/1/2016,23149
5/1/2016,24401
6/1/2016,23821
7/1/2016,21574
8/1/2016,23923
9/1/2016,23570
10/1/2016,24533
11/1/2016,24104
12/1/2016,24841
1/1/2017,24185
2/1/2017,21743
3/1/2017,25775
4/1/2017,25411
5/1/2017,27385
6/1/2017,24432
7/1/2017,27016
8/1/2017,27679
9/1/2017,26158
10/1/2017,28765
11/1/2017,28246
12/1/2017,29059
1/1/2018,28075
2/1/2018,25362
3/1/2018,29223
4/1/2018,28942
5/1/2018,28995
6/1/2018,24833
7/1/2018,29086
8/1/2018,28098
9/1/2018,27618
10/1/2018,29317
11/1/2018,28049
12/1/2018,29201
1/1/2019,27768
2/1/2019,25305
3/1/2019,28366
4/1/2019,28062
5/1/2019,28369
6/1/2019,25816
7/1/2019,29714
8/1/2019,27651
9/1/2019,28293
10/1/2019,29278
11/1/2019,28563
12/1/2019,28860
1/1/2020,26733
2/1/2020,25616
3/1/2020,18548
4/1/2020,5138
5/1/2020,5077
6/1/2020,8591
7/1/2020,11116
8/1/2020,11014
9/1/2020,9678
10/1/2020,10128
11/1/2020,11622
12/1/2020,11330
1/1/2021,10149
2/1/2021,9796
3/1/2021,12041
4/1/2021,12452
5/1/2021,12230
6/1/2021,11978
7/1/2021,5102
8/1/2021,5947
9/1/2021,8693
10/1/2021,11347
11/1/2021,12792
12/1/2021,14213
1/1/2022,14484
2/1/2022,10499
3/1/2022,15735
4/1/2022,15890
5/1/2022,17075
6/1/2022,18326
7/1/2022,19467
8/1/2022,19388.00
9/1/2022,20587
10/1/2022,21807
11/1/2022,21589
12/1/2022,23118
1/1/2023,22717
2/1/2023,20811
3/1/2023,23856
4/1/2023,21402
5/1/2023,23716
6/1/2023,23292
