Tanggal,Periode,High_Stock
09-07-2012,1,32.880001
16-07-2012,2,30.5
23-07-2012,3,29.49
30-07-2012,4,24.040001
06-08-2012,5,22.450001
13-08-2012,6,22.450001
20-08-2012,7,20.129999
27-08-2012,8,19.530001
03-09-2012,9,19.42
10-09-2012,10,22.08
17-09-2012,11,23.370001
24-09-2012,12,21.98
01-10-2012,13,22.59
08-10-2012,14,20.75
15-10-2012,15,20.48
22-10-2012,16,24.25
29-10-2012,17,21.690001
05-11-2012,18,21.48
12-11-2012,19,23.93
19-11-2012,20,24.68
26-11-2012,21,28
03-12-2012,22,28.879999
10-12-2012,23,28.75
17-12-2012,24,28.219999
24-12-2012,25,27.18
31-12-2012,26,28.93
07-01-2013,27,31.959999
14-01-2013,28,32.209999
21-01-2013,29,31.93
28-01-2013,30,32.509998
04-02-2013,31,29.290001
11-02-2013,32,28.75
18-02-2013,33,29.08
25-02-2013,34,28.120001
04-03-2013,35,28.68
11-03-2013,36,28.639999
18-03-2013,37,26.9
25-03-2013,38,26.280001
01-04-2013,39,27.799999
08-04-2013,40,28.1
15-04-2013,41,27.48
22-04-2013,42,27.620001
29-04-2013,43,29.07
06-05-2013,44,28.459999
13-05-2013,45,27.33
20-05-2013,46,26.190001
27-05-2013,47,24.950001
03-06-2013,48,24.32
10-06-2013,49,24.6
17-06-2013,50,25.190001
24-06-2013,51,24.98
01-07-2013,52,25.059999
08-07-2013,53,26
15-07-2013,54,26.780001
22-07-2013,55,34.880001
29-07-2013,56,38.490002
05-08-2013,57,39.32
12-08-2013,58,38.5
19-08-2013,59,40.630001
26-08-2013,60,42.259998
02-09-2013,61,44.610001
09-09-2013,62,45.619999
16-09-2013,63,47.599998
23-09-2013,64,51.279999
30-09-2013,65,51.599998
07-10-2013,66,51.290001
14-10-2013,67,54.830002
21-10-2013,68,54.810001
28-10-2013,69,52.09
04-11-2013,70,50.450001
11-11-2013,71,49.57
18-11-2013,72,48.84
25-11-2013,73,47.209999
02-12-2013,74,49.389999
09-12-2013,75,53.5
16-12-2013,76,55.889999
23-12-2013,77,58.580002
30-12-2013,78,55.650002
